DateTime,520MX051D01.FIC0028.MEAS,520D007D02.TI0058.MEAS,530R001D01.FI0043.MEAS,530E001D01.FIC0015.MEAS,530R001D01.FIC0030.MEAS,530R001D01.FIC0047.MEAS,530C021D01.FIC0203.MEAS,530R001D02.FIC0230.MEAS,530R002D02.LI0010.MEAS,530M102D01.LIC0011.MEAS,530R002D02.PDI0148.MEAS,530M105D01.PDIC0149.MEAS,530F001D01.PIC0023.MEAS,530R002D02.TI0037.MEAS,530F001D01.TIC0012.MEAS,530M105D01.TIC0022.MEAS,530UZ1099E01.TZI0068A.MEAS,530M103D01.ZI2103A.MEAS,530M104D01.ZI2104A.MEAS,530M105D01.ZI2105A.MEAS,535D005D01.LI0011.MEAS,535INT920D01.TI0046.MEAS,labels
2024-12-03 18:54:00,4.52622413635254,128.291015625,2655.88916015625,1204.74853515625,2524.4609375,309.838623046875,136.876708984375,5.49545478820801,52.117073059082,30.578052520752,785.703125,741.96875,1.4957811832428,725.424987792969,141.0,684.6884765625,154.942016601563,20.83203125,19.34765625,63.083984375,13.2330589294434,57.95703125,0
2024-12-03 18:57:00,4.52622413635254,128.501953125,2641.20654296875,1203.58996582031,2526.60766601563,310.193023681641,136.774444580078,5.49545478820801,52.5023727416992,31.1737499237061,845.1171875,743.953369140625,1.4957811832428,725.493774414063,140.84375,684.7587890625,154.679489135742,20.51171875,19.34765625,63.294921875,13.3318967819214,57.9609375,0
2024-12-03 19:00:00,4.52622413635254,128.724609375,2666.650390625,1207.43176269531,2496.33178710938,309.626098632813,136.737869262695,5.49545478820801,50.0225677490234,31.0334587097168,772.4609375,768.532531738281,1.4957811832428,725.631286621094,140.65625,684.3720703125,154.548233032227,20.609375,19.34765625,63.2578125,13.331748008728,57.9609375,0
2024-12-03 19:03:00,4.52622413635254,128.724609375,2646.34887695313,1204.64538574219,2490.23193359375,309.974639892578,136.870834350586,5.49545478820801,49.3574638366699,30.8541793823242,751.09375,790.431884765625,1.4957811832428,725.631286621094,140.4375,684.6005859375,154.548233032227,21.05859375,19.34765625,63.0,13.2047529220581,57.859375,0
2024-12-03 19:06:00,4.52622413635254,128.490234375,2656.01904296875,1205.33435058594,2491.16333007813,309.784637451172,136.660766601563,5.49545478820801,50.0221481323242,29.493106842041,751.328125,806.153747558594,1.4957811832428,725.940612792969,140.25,684.720703125,154.416976928711,20.642578125,19.34765625,63.05078125,13.3077659606934,57.859375,0
2024-12-03 19:09:00,4.52622413635254,128.244140625,2646.92944335938,1204.29797363281,2544.7314453125,310.543060302734,136.694549560547,5.49545478820801,50.9536972045898,29.0092525482178,749.53125,776.126647949219,1.4957811832428,726.078125,140.09375,685.171875,154.416976928711,20.51171875,19.34765625,62.966796875,13.2147006988525,57.75390625,0
2024-12-03 19:12:00,4.52622413635254,128.138671875,2654.03149414063,1205.63391113281,2556.96557617188,308.973724365234,136.676345825195,5.49545478820801,52.3112106323242,29.6261005401611,849.4140625,753.179565429688,1.4957811832428,725.734375,139.90625,685.27734375,154.15446472168,20.62890625,19.34765625,63.591796875,13.3054828643799,57.95703125,0
2024-12-03 19:15:00,4.52622413635254,128.02734375,2653.2724609375,1205.42761230469,2555.18530273438,309.465057373047,136.459197998047,5.49545478820801,51.3726806640625,30.4612064361572,916.6015625,774.700500488281,1.4957811832428,725.665649414063,139.796875,684.7998046875,154.023193359375,20.736328125,19.34765625,63.384765625,13.3094682693481,58.267578125,0
2024-12-03 19:18:00,4.52622413635254,127.921875,2652.38671875,1203.21704101563,2564.83837890625,309.207275390625,136.188659667969,5.49545478820801,50.9855804443359,30.672061920166,809.1796875,805.588928222656,1.4957811832428,725.717224121094,139.625,685.552734375,154.15446472168,20.3125,19.34765625,63.18359375,13.312481880188,58.267578125,0
2024-12-03 19:21:00,4.52622413635254,127.921875,2654.02465820313,1208.54235839844,2560.83056640625,310.922912597656,136.005737304688,5.49545478820801,51.9987335205078,29.4977035522461,880.8984375,751.556335449219,1.4957811832428,725.90625,139.484375,684.8671875,154.15446472168,20.509765625,19.34765625,63.73828125,13.3334159851074,58.1640625,0
2024-12-03 19:24:00,4.52622413635254,127.921875,2653.45336914063,1202.50744628906,2564.34399414063,311.628570556641,136.224502563477,5.49545478820801,52.8382148742676,28.3807945251465,660.1171875,764.522155761719,1.4957811832428,725.871887207031,139.34375,684.3193359375,154.548233032227,20.2109375,19.34765625,63.650390625,13.3298110961914,58.16796875,0
2024-12-03 19:27:00,4.52622413635254,128.02734375,2655.02099609375,1204.02941894531,2557.46850585938,309.030731201172,135.753845214844,5.49545478820801,50.1019668579102,29.097225189209,842.34375,782.029296875,1.4957811832428,725.768737792969,139.421875,684.1171875,154.679489135742,20.595703125,19.34765625,63.3671875,13.315146446228,58.37109375,0
2024-12-03 19:30:00,4.52622413635254,128.1328125,2649.91845703125,1206.10986328125,2555.40478515625,310.030090332031,136.260940551758,5.49545478820801,49.2016105651855,29.7610626220703,730.3125,772.883605957031,1.4957811832428,725.493774414063,139.40625,685.001953125,154.548233032227,20.736328125,19.34765625,63.521484375,13.3034925460815,58.16796875,0
2024-12-03 19:33:00,4.52622413635254,128.021484375,2651.1884765625,1205.82214355469,2557.740234375,309.506896972656,135.942260742188,5.49545478820801,50.9074249267578,29.1893081665039,723.90625,764.564208984375,1.4957811832428,725.734375,139.421875,684.486328125,154.15446472168,20.69921875,19.34765625,63.794921875,13.20458984375,58.162109375,0
